6400,34416
4100,21292
1800,9222
8200,44244
5900,31070
3600,18710
10000,55912
1300,6486
7700,42556
5400,28740
3100,16320
9500,51758
800,3618
7200,39090
4900,26380
2600,13830
9000,49506
300,1178
6700,36004
4400,22810
2100,10596
8500,46578
6200,33410
3900,20526
1600,8024
8000,44076
5700,30448
3400,17778
9800,54812
1100,5402
7500,43844
5200,27964
2900,14936
9300,51160
600,2100
7000,38214
4700,24890
2400,12336
8800,46418
100,378
6500,34906
4200,21976
1900,9468
8300,44836
6000,32000
3700,19138
1400,6900
7800,42212
5500,29318
3200,16672
9600,52086
900,4112
7300,39414
5000,26844
2700,14080
9100,49898
400,1582
6800,36442
4500,23866
2200,11626
8600,47364
6300,33526
4000,20892
1700,8454
8100,43658
5800,30932
3500,18252
9900,54856
1200,6054
7600,42324
5300,27720
3000,15664
9400,51214
700,2654
7100,38388
4800,24886
2500,12874
8900,49872
200,768
6600,35392
4300,22580
2000,10136
8400,44894
6100,32318
3800,19954
1500,7452
7900,42250
5600,30496
3300,17634
9700,52460
1000,4858
7400,39820
5100,27602
2800,14536
9200,51182
500,1750
6900,37420
4600,24202
2300,11852
8700,47706
